path,artifact_family,artifact_kind,action,authority_state,replacement_path,archive_destination,git_tracked_expected,reason,notes
curtailment_opportunity_live_britned_reviewed_2024-11-15_2024-11-17,opportunity_bundle,reviewed_bundle,keep,authoritative_bundle,,,true,current authoritative reviewed bundle,later guardrail window
curtailment_opportunity_live_britned_reviewed_2024-11-22_2024-11-24,opportunity_bundle,reviewed_bundle,keep,authoritative_bundle,,,true,current authoritative reviewed bundle,informative later window
curtailment_opportunity_live_britned_reviewed_2024-12-07_2024-12-09,opportunity_bundle,reviewed_bundle,keep,authoritative_bundle,,,true,current authoritative reviewed bundle,December informative window
curtailment_opportunity_live_britned_reviewed_2025-01-24_2025-01-26,opportunity_bundle,reviewed_bundle,keep,authoritative_bundle,,,true,current authoritative reviewed bundle,January guardrail window
curtailment_opportunity_live_britned_reviewed_refresh_2024-10-01_2024-10-07,opportunity_bundle,reviewed_bundle_refresh,delete,disposable_refresh_output,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,,true,refresh bundle is superseded by authoritative rerun,refresh alias only
curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,opportunity_bundle,reviewed_bundle_rerun,keep,authoritative_bundle,,,true,current authoritative October reviewed bundle,authoritative October rerun
curtailment_opportunity_live_market_state_2024-10-01_2024-10-07,opportunity_bundle,market_state_experiment,archive,superseded_experiment,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,_local_archive/generated_outputs/curtailment_opportunity_live_market_state_2024-10-01_2024-10-07,true,market state branch is superseded by authoritative October rerun,October market state branch
curtailment_opportunity_live_scotland_britned_reviewed_2024-10-01_2024-10-07,opportunity_bundle,scotland_experiment,archive,superseded_experiment,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,_local_archive/generated_outputs/curtailment_opportunity_live_scotland_britned_reviewed_2024-10-01_2024-10-07,true,Scotland branch is superseded by authoritative October rerun,October Scotland branch
curtailment_opportunity_live_spatial_gate_2024-10-01_2024-10-07,opportunity_bundle,spatial_gate_experiment,archive,superseded_experiment,curtailment_opportunity_live_britned_reviewed_rerun_2024-10-01_2024-10-07,_local_archive/generated_outputs/curtailment_opportunity_live_spatial_gate_2024-10-01_2024-10-07,true,spatial gate branch is superseded by authoritative October rerun,October spatial gate branch
curtailment_opportunity_smoke,opportunity_bundle,smoke_output,delete,disposable_smoke_output,,,true,smoke artifact is disposable,smoke output only
exploratory_cluster_map_dec_2024,exploratory_map,exploratory_map_snapshot,delete,disposable_local_ui_snapshot,,,true,exploratory map can be regenerated on demand,initial December map snapshot
exploratory_cluster_map_dec_2024_drift_refresh,exploratory_map,exploratory_map_snapshot,delete,disposable_local_ui_snapshot,,,true,exploratory map can be regenerated on demand,drift refresh map snapshot
model_readiness_candidate_agnostic_smoke,readiness_run,smoke_output,delete,disposable_smoke_output,,,true,smoke readiness output is disposable,candidate agnostic smoke
model_readiness_dec_2024_drift_refresh,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_dec_2024_event_lifecycle,_local_archive/generated_outputs/model_readiness_dec_2024_drift_refresh,true,stepping stone December readiness is superseded by final December readiness,drift refresh intermediate
model_readiness_dec_2024_event_lifecycle,readiness_run,readiness_final,keep,authoritative_readiness,,,true,current authoritative December readiness,final December event lifecycle
model_readiness_dec_2024_evidence_refresh,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_dec_2024_event_lifecycle,_local_archive/generated_outputs/model_readiness_dec_2024_evidence_refresh,true,stepping stone December readiness is superseded by final December readiness,evidence refresh intermediate
model_readiness_dec_2024_opening_guardrail,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_dec_2024_event_lifecycle,_local_archive/generated_outputs/model_readiness_dec_2024_opening_guardrail,true,stepping stone December readiness is superseded by final December readiness,opening guardrail intermediate
model_readiness_dec_2024_walkforward_fix,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_dec_2024_event_lifecycle,_local_archive/generated_outputs/model_readiness_dec_2024_walkforward_fix,true,stepping stone December readiness is superseded by final December readiness,walkforward fix intermediate
model_readiness_gb_nl_shadow_suite_v1,readiness_run,shadow_suite,keep,archived_compare_authority,,,true,archived compare evidence remains authoritative for design history,retired v3 benchmark suite
model_readiness_gb_nl_specialist_shadow_2024-10-01_2024-10-07,readiness_run,shadow_step,archive,superseded_shadow_compare,model_readiness_gb_nl_shadow_suite_v1,_local_archive/generated_outputs/model_readiness_gb_nl_specialist_shadow_2024-10-01_2024-10-07,true,early specialist compare output is superseded by archived suite,initial v3 shadow output
model_readiness_gb_nl_specialist_shadow_refresh_2024-10-01_2024-10-07,readiness_run,shadow_step,archive,superseded_shadow_compare,model_readiness_gb_nl_shadow_suite_v1,_local_archive/generated_outputs/model_readiness_gb_nl_specialist_shadow_refresh_2024-10-01_2024-10-07,true,refresh specialist compare output is superseded by archived suite,refresh v3 shadow output
model_readiness_live_2024-10-01_2024-10-07,readiness_run,live_experiment,archive,superseded_experiment,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_live_2024-10-01_2024-10-07,true,live readiness branch is superseded by authoritative October readiness,October broad live readiness
model_readiness_live_britned_reviewed_2024-10-01_2024-10-07,readiness_run,live_experiment,archive,superseded_experiment,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_live_britned_reviewed_2024-10-01_2024-10-07,true,live reviewed readiness branch is superseded by authoritative October readiness,October BritNed readiness
model_readiness_live_gb_nl_specialist_shadow_2024-10-01_2024-10-07,readiness_run,shadow_step,archive,superseded_shadow_compare,model_readiness_gb_nl_shadow_suite_v1,_local_archive/generated_outputs/model_readiness_live_gb_nl_specialist_shadow_2024-10-01_2024-10-07,true,live specialist shadow output is superseded by archived suite,live v3 shadow base
model_readiness_live_gb_nl_specialist_shadow_v3b_2024-10-01_2024-10-07,readiness_run,shadow_step,archive,superseded_shadow_compare,model_readiness_gb_nl_shadow_suite_v1,_local_archive/generated_outputs/model_readiness_live_gb_nl_specialist_shadow_v3b_2024-10-01_2024-10-07,true,live specialist shadow output is superseded by archived suite,live v3b shadow
model_readiness_live_gb_nl_specialist_shadow_v3c_2024-10-01_2024-10-07,readiness_run,shadow_step,archive,superseded_shadow_compare,model_readiness_gb_nl_shadow_suite_v1,_local_archive/generated_outputs/model_readiness_live_gb_nl_specialist_shadow_v3c_2024-10-01_2024-10-07,true,live specialist shadow output is superseded by archived suite,live v3c shadow
model_readiness_live_gb_nl_specialist_shadow_v3d_2024-10-01_2024-10-07,readiness_run,shadow_step,archive,superseded_shadow_compare,model_readiness_gb_nl_shadow_suite_v1,_local_archive/generated_outputs/model_readiness_live_gb_nl_specialist_shadow_v3d_2024-10-01_2024-10-07,true,live specialist shadow output is superseded by archived suite,live v3d shadow
model_readiness_live_gb_nl_specialist_shadow_v3e_2024-10-01_2024-10-07,readiness_run,shadow_step,archive,superseded_shadow_compare,model_readiness_gb_nl_shadow_suite_v1,_local_archive/generated_outputs/model_readiness_live_gb_nl_specialist_shadow_v3e_2024-10-01_2024-10-07,true,live specialist shadow output is superseded by archived suite,live v3e shadow
model_readiness_live_scotland_britned_reviewed_2024-10-01_2024-10-07,readiness_run,live_experiment,archive,superseded_experiment,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_live_scotland_britned_reviewed_2024-10-01_2024-10-07,true,Scotland readiness branch is superseded by authoritative October readiness,October Scotland readiness
model_readiness_live_spatial_gate_2024-10-01_2024-10-07,readiness_run,live_experiment,archive,superseded_experiment,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_live_spatial_gate_2024-10-01_2024-10-07,true,spatial gate readiness branch is superseded by authoritative October readiness,October spatial readiness
model_readiness_oct_2024_drift_policy_v2,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_oct_2024_drift_policy_v2,true,stepping stone October readiness is superseded by final October readiness,older drift policy step
model_readiness_oct_2024_drift_policy_v3,readiness_run,readiness_final,keep,authoritative_readiness,,,false,current authoritative October readiness,final October readiness
model_readiness_oct_2024_r2_diagnostic,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_oct_2024_r2_diagnostic,true,diagnostic October readiness is superseded by final October readiness,R2 diagnostic intermediate
model_readiness_oct_2024_r2_event_lifecycle,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_oct_2024_r2_event_lifecycle,true,event lifecycle October readiness is superseded by final October readiness,R2 lifecycle intermediate
model_readiness_oct_2024_reviewed_input_r2_late_reopen,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_oct_2024_reviewed_input_r2_late_reopen,true,late reopen October readiness is superseded by final October readiness,late reopen intermediate
model_readiness_oct_2024_reviewed_input_r2_late_reopen_v2,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_oct_2024_reviewed_input_r2_late_reopen_v2,true,late reopen October readiness is superseded by final October readiness,late reopen v2 intermediate
model_readiness_oct_2024_reviewed_input_rerun,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_oct_2024_reviewed_input_rerun,true,reviewed input October readiness is superseded by final October readiness,reviewed input rerun intermediate
model_readiness_oct_2024_reviewed_input_rerun_guardrail_fix,readiness_run,readiness_step,archive,superseded_readiness_step,model_readiness_oct_2024_drift_policy_v3,_local_archive/generated_outputs/model_readiness_oct_2024_reviewed_input_rerun_guardrail_fix,true,guardrail fixed October readiness is superseded by final October readiness,guardrail fix intermediate
model_readiness_reviewed_bundle_batch,readiness_run,batch_rollup,archive,superseded_batch,model_readiness_reviewed_bundle_batch_authoritative_rerun,_local_archive/generated_outputs/model_readiness_reviewed_bundle_batch,true,early batch rollup is superseded by authoritative rerun batch,original batch rollup
model_readiness_reviewed_bundle_batch_authoritative_rerun,readiness_run,batch_rollup_authoritative,keep,authoritative_batch,,,false,current authoritative batch rollup,batch prefers rerun bundles
model_readiness_reviewed_bundle_batch_deduped,readiness_run,batch_rollup,archive,superseded_batch,model_readiness_reviewed_bundle_batch_authoritative_rerun,_local_archive/generated_outputs/model_readiness_reviewed_bundle_batch_deduped,true,deduped batch rollup is superseded by authoritative rerun batch,deduped batch intermediate
model_readiness_reviewed_bundle_batch_deduped_refresh,readiness_run,batch_rollup,archive,superseded_batch,model_readiness_reviewed_bundle_batch_authoritative_rerun,_local_archive/generated_outputs/model_readiness_reviewed_bundle_batch_deduped_refresh,true,refresh deduped batch rollup is superseded by authoritative rerun batch,deduped refresh batch
model_readiness_reviewed_bundle_batch_drift_policy_v2,readiness_run,batch_rollup,archive,superseded_batch,model_readiness_reviewed_bundle_batch_authoritative_rerun,_local_archive/generated_outputs/model_readiness_reviewed_bundle_batch_drift_policy_v2,true,drift policy batch rollup is superseded by authoritative rerun batch,drift policy v2 batch
model_readiness_reviewed_bundle_batch_drift_policy_v3,readiness_run,batch_rollup,archive,superseded_batch,model_readiness_reviewed_bundle_batch_authoritative_rerun,_local_archive/generated_outputs/model_readiness_reviewed_bundle_batch_drift_policy_v3,false,drift policy batch rollup is superseded by authoritative rerun batch,drift policy v3 batch
model_readiness_reviewed_bundle_batch_event_lifecycle,readiness_run,batch_rollup,archive,superseded_batch,model_readiness_reviewed_bundle_batch_authoritative_rerun,_local_archive/generated_outputs/model_readiness_reviewed_bundle_batch_event_lifecycle,true,event lifecycle batch rollup is superseded by authoritative rerun batch,event lifecycle batch
model_readiness_reviewed_bundle_batch_r2_event_lifecycle,readiness_run,batch_rollup,archive,superseded_batch,model_readiness_reviewed_bundle_batch_authoritative_rerun,_local_archive/generated_outputs/model_readiness_reviewed_bundle_batch_r2_event_lifecycle,true,R2 event lifecycle batch rollup is superseded by authoritative rerun batch,R2 lifecycle batch
model_readiness_reviewed_bundle_batch_r2_late_reopen,readiness_run,batch_rollup,archive,superseded_batch,model_readiness_reviewed_bundle_batch_authoritative_rerun,_local_archive/generated_outputs/model_readiness_reviewed_bundle_batch_r2_late_reopen,true,R2 late reopen batch rollup is superseded by authoritative rerun batch,R2 reopen batch
